time_s,y_mm
305.008334,142.004365
305.016667,141.982527
305.025000,141.976151
305.033334,141.972863
305.041667,141.983836
305.050000,141.972458
305.058334,141.966053
305.066667,141.944499
305.075000,141.933912
305.083334,141.939826
305.091667,141.931400
305.100000,141.936332
305.108334,141.940362
305.116667,141.939376
305.125000,141.931898
305.133334,141.917554
305.141667,141.916442
305.150000,141.919382
305.158334,141.912144
305.166667,141.915112
305.175000,141.903286
305.183334,141.909016
305.191667,141.894370
305.200000,141.892204
305.208334,141.887286
305.216667,141.889508
305.225000,141.880384
305.233334,141.868940
305.241667,141.851499
305.250000,141.820350
305.258334,141.801569
305.266667,141.784886
305.275000,141.788166
305.283334,141.795798
305.291667,141.793549
305.300000,141.802947
305.308334,141.768255
305.316667,141.761911
305.325000,141.741471
305.333334,141.740186
305.341667,141.754135
305.350000,141.754334
305.358334,141.750573
305.366667,141.742631
305.375000,141.734017
305.383334,141.731060
305.391667,141.716648
305.400000,141.717785
305.408334,141.710248
305.416667,141.712277
305.425000,141.713719
305.433334,141.695921
305.441667,141.701840
305.450000,141.688200
305.458334,141.696644
305.466667,141.689882
305.475000,141.682072
305.483334,141.670214
305.491667,141.657668
305.500000,141.648848
305.508334,141.657315
305.516667,141.670328
305.525000,141.672293
305.533334,141.650691
305.541667,141.643038
305.550000,141.635242
305.558334,141.629999
305.566667,141.632558
305.575000,141.633045
305.583334,141.631178
305.591667,141.632701
305.600000,141.611865
305.608334,141.599756
305.616667,141.604627
305.625000,141.589596
305.633334,141.596468
305.641667,141.606101
305.650000,141.603420
305.658334,141.604189
305.666667,141.619705
305.675000,141.618629
305.683334,141.611632
305.691667,141.624546
305.700000,141.636277
305.708334,141.653309
305.716667,141.667714
305.725000,141.672878
305.733334,141.645536
305.741667,141.646061
305.750000,141.643656
305.758334,141.653338
305.766667,141.651672
305.775000,141.660200
305.783334,141.667467
305.791667,141.644770
305.800000,141.643989
305.808334,141.637298
305.816667,141.638668
305.825000,141.650481
305.833334,141.670668
305.841667,141.649710
305.850000,141.650118
305.858334,141.649763
305.866667,141.639124
305.875000,141.638977
305.883334,141.644439
305.891667,141.646053
305.900000,141.643973
305.908334,141.638896
305.916667,141.634902
305.925000,141.643332
305.933334,141.645240
305.941667,141.630645
305.950000,141.635056
305.958334,141.636777
305.966667,141.629965
305.975000,141.627114
305.983334,141.628632
305.991667,141.625648
306.000000,141.631753
306.008334,141.629047
306.016667,141.627357
306.025000,141.618866
306.033334,141.606601
306.041667,141.617237
306.050000,141.631866
306.058334,141.637421
306.066667,141.627242
306.075000,141.622704
306.083334,141.619220
306.091667,141.618256
306.100000,141.624146
306.108334,141.638788
306.116667,141.640412
306.125000,141.643049
306.133334,141.641435
306.141667,141.633054
306.150000,141.632941
306.158334,141.642522
306.166667,141.652774
306.175000,141.671587
306.183334,141.678271
306.191667,141.671968
306.200000,141.667862
306.208334,141.678142
306.216667,141.674642
306.225000,141.689426
306.233334,141.700332
306.241667,141.715971
306.250000,141.719700
306.258334,141.723874
306.266667,141.728043
306.275000,141.727267
306.283334,141.732425
306.291667,141.734878
306.300000,141.734800
306.308334,141.714298
306.316667,141.706535
306.325000,141.700851
306.333334,141.704754
306.341667,141.718985
306.350000,141.740289
306.358334,141.755029
306.366667,141.765524
306.375000,141.754716
306.383334,141.743420
306.391667,141.747703
306.400000,141.761721
306.408334,141.795623
306.416667,141.807923
306.425000,141.821734
306.433334,141.809377
306.441667,141.800906
306.450000,141.808087
306.458334,141.809241
306.466667,141.842350
306.475000,141.854007
306.483334,141.876676
306.491667,141.875890
306.500000,141.869925
306.508334,141.868304
306.516667,141.869351
306.525000,141.890236
306.533334,141.908274
306.541667,141.921647
306.550000,141.937211
306.558334,141.947852
306.566667,141.940503
306.575000,141.944727
306.583334,141.952606
306.591667,141.970004
306.600000,141.995133
306.608334,142.019319
306.616667,142.035416
306.625000,142.040492
306.633334,142.042326
306.641667,142.043822
306.650000,142.055868
306.658334,142.067682
306.666667,142.085743
306.675000,142.100464
306.683334,142.128201
306.691667,142.133597
306.700000,142.149754
306.708334,142.157790
306.716667,142.171382
306.725000,142.199440
306.733334,142.228798
306.741667,142.249618
306.750000,142.276045
306.758334,142.293958
306.766667,142.311639
306.775000,142.327115
306.783334,142.359489
306.791667,142.367291
306.800000,142.387731
306.808334,142.399902
306.816667,142.405123
306.825000,142.423716
306.833334,142.444826
306.841667,142.458207
306.850000,142.464128
306.858334,142.489242
306.866667,142.496461
306.875000,142.506196
306.883334,142.520041
306.891667,142.530791
306.900000,142.555724
306.908334,142.556766
306.916667,142.572549
306.925000,142.580963
306.933334,142.588871
306.941667,142.602137
306.950000,142.627902
306.958334,142.637646
306.966667,142.651209
306.975000,142.663219
306.983334,142.681452
306.991667,142.688960
307.000000,142.701124
307.008334,142.713335
307.016667,142.738451
307.025000,142.756498
307.033334,142.769651
307.041667,142.785077
307.050000,142.782433
307.058334,142.795826
307.066667,142.806446
307.075000,142.817192
307.083334,142.841356
307.091667,142.865896
307.100000,142.883570
307.108334,142.877582
307.116667,142.882128
307.125000,142.881775
307.133334,142.907730
307.141667,142.930212
307.150000,142.941895
307.158334,142.964611
307.166667,142.969434
307.175000,142.976690
307.183334,142.977359
307.191667,142.992898
307.200000,143.014425
307.208334,143.056885
307.216667,143.070463
307.225000,143.085704
307.233334,143.089717
307.241667,143.078471
307.250000,143.082326
307.258334,143.105667
307.266667,143.138151
307.275000,143.165974
307.283334,143.176251
307.291667,143.163393
307.300000,143.149840
307.308334,143.147314
307.316667,143.153943
307.325000,143.178090
307.333334,143.184038
307.341667,143.199670
307.350000,143.196650
307.358334,143.179987
307.366667,143.175458
307.375000,143.196855
307.383334,143.211544
307.391667,143.237540
307.400000,143.252356
307.408334,143.248066
307.416667,143.262011
307.425000,143.257360
307.433334,143.269754
307.441667,143.285256
307.450000,143.306900
307.458334,143.309505
307.466667,143.325888
307.475000,143.331827
307.483334,143.331251
307.491667,143.334123
307.500000,143.348454
307.508334,143.369208
307.516667,143.373993
307.525000,143.391323
307.533334,143.388140
307.541667,143.391360
307.550000,143.400097
307.558334,143.402336
307.566667,143.410519
307.575000,143.428888
307.583334,143.434876
307.591667,143.443546
307.600000,143.434956
307.608334,143.445926
307.616667,143.454605
307.625000,143.466901
307.633334,143.475421
307.641667,143.485474
307.650000,143.489451
307.658334,143.490674
307.666667,143.477042
307.675000,143.480358
307.683334,143.486697
307.691667,143.495501
307.700000,143.500520
307.708334,143.510561
307.716667,143.516099
307.725000,143.523410
